N-gram turi;O'zbekcha;Turkcha (Tarjimasi);Birga uchrashish chastotasi
Unigram;bor;bir;9
Unigram;farida;feride;36
Unigram;osha;o;17
Unigram;mehmonning;ya;2
Unigram;oldiga;bir;3
Unigram;dedi;dedi;36
Unigram;soz;gibi;2
Unigram;ammo;fakat;3
Unigram;qaysi;hangi;4
Unigram;korgani;fakat;1
Unigram;kichkina;bir;5
Unigram;meni;beni;33
Unigram;qoyib;bir;3
Unigram;qoydi;bu;2
Unigram;bilan;bir;66
Unigram;ogzimga;ağzıma;5
Unigram;bolgani;ağzıma;2
Unigram;uchun;için;40
Unigram;ham;de;71
Unigram;sariq;sarı;3
Unigram;qizil;kırmızı;3
Unigram;bolib;bir;17
Unigram;bularni;bunları;3
Unigram;na;ne;14
Unigram;suv;ne;3
Unigram;va;ne;4
Unigram;bunday;bir;4
Unigram;bolsam;ben;5
Unigram;butunlay;büsbütün;3
Unigram;uning;onun;12
Unigram;alfozda;bir;4
Unigram;lekin;fakat;38
Unigram;bilib;bir;5
Unigram;dugonalarim;olduğunu;2
Unigram;men;ben;52
Unigram;kongil;bir;4
Unigram;hatto;bir;6
Unigram;oldida;bir;8
Unigram;turgan;bir;8
Unigram;хudo;allah;4
Unigram;oz;biraz;20
Unigram;bersin;allah;5
Unigram;kozim;gözüme;2
Unigram;tushgan;bir;5
Unigram;oyna;bir;2
Unigram;yubordi;bir;5
Unigram;shu;bir;26
Unigram;dahliz;parluvarın;3
Unigram;bosh;o;3
Unigram;bolganda;o;3
Unigram;mutlaqo;mutlaka;3
Unigram;ichkariga;içeri;2
Unigram;nima;ne;38
Unigram;u;bir;25
Unigram;begona;yabancı;3
Unigram;odamlar;insanlar;2
Unigram;nachora;bir;5
Unigram;bolar;bir;4
Unigram;ish;ne;2
Unigram;eshikni;kapıyı;4
Unigram;komron;kâmran;32
Unigram;yonida;yanında;4
Unigram;ekan;ne;5
Unigram;togri;lâzım;5
Unigram;kim;bir;7
Unigram;biladi;kim;4
Unigram;balki;belki;2
Unigram;qol;el;4
Unigram;kelar;ve;2
Unigram;bolamning;kuzenimin;5
Unigram;oxshash;benzer;4
Unigram;chiroyli;güzel;5
Unigram;qolini;elini;4
Unigram;qilib;bir;22
Unigram;mumkin;ya;2
Unigram;yana;bir;13
Unigram;birbiriga;birbirine;4
Unigram;tushdi;bu;4
Unigram;bular;bunların;2
Unigram;menga;bana;17
Unigram;tushundim;bunların;1
Unigram;endi;artık;9
Unigram;yosh;bir;9
Unigram;bola;bir;7
Unigram;boshqa;bir;16
Unigram;chora;çare;3
Unigram;qolmagan;kalmamıştı;2
Unigram;edi;bir;43
Unigram;ushlab;tutarak;3
Unigram;uzun;uzun;3
Unigram;bir;bir;148
Unigram;qildim;bir;2
Unigram;shunda;bu;1
Unigram;bolsa;bu;10
Unigram;keyin;sonra;28
Unigram;kulib;gülerek;8
Unigram;yonimga;yanıma;4
Unigram;keldi;bir;4
Unigram;unga;ona;4
Unigram;qilish;etmek;3
Unigram;kerak;bir;9
Unigram;katta;bir;12
Unigram;dedim;dedim;35
Unigram;konfetlar;fondanlar;3
Unigram;haqqi;ne;2
Unigram;hamki;biraz;3
Unigram;odam;bir;6
Unigram;tortar;kâmran;3
Unigram;xil;bir;3
Unigram;konfet;bir;2
Unigram;chiqib;bir;9
Unigram;qolsa;bir;2
Unigram;emas;değil;16
Unigram;ularni;onları;2
Unigram;yuragi;bir;3
Unigram;birga;beraber;6
Unigram;bu;bu;57
Unigram;safar;bu;5
Unigram;narsa;bir;24
Unigram;deb;diye;30
Unigram;oylayman;bu;3
Unigram;yasama;bir;3
Unigram;chiqdi;çıktı;3
Unigram;kichik;küçük;5
Unigram;qilinadigan;bir;3
Unigram;rasmli;resimli;3
Unigram;narsalar;ne;4
Unigram;bolam;kuzenim;12
Unigram;hech;bir;16
Unigram;bolgan;bir;6
Unigram;erga;yere;7
Unigram;chindan;için;5
Unigram;qilay;küçük;2
Unigram;yo;bir;10
Unigram;ozimni;kendimi;16
Unigram;sira;hızlı;2
Unigram;sizga;size;3
Unigram;necha;birkaç;13
Unigram;yil;sene;6
Unigram;avval;evvel;4
Unigram;siz;bir;6
Unigram;odamlarga;de;2
Unigram;harholda;bir;6
Unigram;shunday;bir;10
Unigram;emasmi;değil;4
Unigram;yigit;bir;2
Unigram;kozlarini;gözlerini;7
Unigram;nega;bir;8
Unigram;on;bir;5
Unigram;kirib;bir;9
Unigram;qolgan;bir;12
