N-gram turi;N-gram;Chastota
Unigram;ham;158
Unigram;bir;151
Unigram;bilan;150
Unigram;men;90
Unigram;edi;82
Unigram;bu;78
Unigram;mujgon;77
Unigram;deb;72
Unigram;lekin;62
Unigram;u;57
Unigram;shu;52
Unigram;nima;50
Unigram;uchun;49
Unigram;dedi;47
Unigram;dedim;45
Unigram;meni;44
Unigram;edim;43
Unigram;komron;41
Unigram;keyin;41
Unigram;farida;36
Unigram;hech;36
Unigram;yana;31
Unigram;qanday;31
Unigram;oz;29
Unigram;qilib;29
Unigram;kerak;26
Unigram;bor;25
Unigram;har;25
Unigram;yoq;24
Unigram;ozimni;24
Unigram;olib;23
Unigram;juda;22
Unigram;menga;22
Unigram;bolsa;22
Unigram;emas;22
Unigram;yaxshi;22
Unigram;osha;21
Unigram;bolib;21
Unigram;endi;20
Unigram;chiqib;20
Unigram;narsa;20
Unigram;shunday;20
Unigram;boshladim;18
Unigram;kuni;18
Unigram;uning;17
Unigram;boshqa;17
Unigram;katta;17
Unigram;turib;17
Unigram;faqat;17
Unigram;song;17
Unigram;ekan;16
Unigram;bolsam;15
Unigram;kulib;15
Unigram;qolgan;15
Unigram;singari;15
Unigram;mujgonning;15
Unigram;dengiz;15
Unigram;bolam;14
Unigram;necha;14
Unigram;kirib;14
Unigram;komronning;14
Unigram;xolam;14
Unigram;turgan;13
Unigram;kim;13
Unigram;uni;13
Unigram;boshladi;13
Unigram;kun;13
Unigram;otib;13
Unigram;togri;12
Unigram;yosh;12
Unigram;yo;12
Unigram;nega;12
Unigram;gap;12
Unigram;qarab;12
Unigram;ketdim;12
Unigram;seni;12
Unigram;oldim;12
Unigram;opa;12
Unigram;biz;12
Unigram;boldi;11
Unigram;bola;11
Unigram;harakat;11
Unigram;korib;11
Unigram;bolalar;11
Unigram;kelgan;11
Unigram;boshimni;11
Unigram;ikki;11
Unigram;qiz;11
Unigram;ha;11
Unigram;mening;11
Unigram;bechora;11
Unigram;xolam;11
Unigram;bunday;10
Unigram;odam;10
Unigram;erga;10
Unigram;chindan;10
Unigram;etib;10
Unigram;qildi;10
Unigram;kop;10
Unigram;buni;10
Unigram;degan;10
Unigram;bitta;10
Unigram;tushib;10
Unigram;yol;10
Unigram;eng;10
Unigram;qoyib;9
Unigram;na;9
Unigram;safar;9
Unigram;albatta;9
Unigram;biron;9
Unigram;qoldi;9
Unigram;borib;9
Unigram;bunga;9
Unigram;argimchoq;9
Unigram;erda;8
Unigram;qol;8
Unigram;oxshash;8
Unigram;ushlab;8
Unigram;unga;8
Unigram;kozlarini;8
Unigram;hamon;8
Unigram;ozim;8
Unigram;bundan;8
Unigram;javob;8
Unigram;boladi;8
Unigram;birdan;8
Unigram;bizni;8
Unigram;bizga;8
Unigram;yurib;8
Unigram;esa;8
Unigram;komronni;8
Unigram;ana;8
Unigram;kelib;8
Unigram;orasida;8
Unigram;mehmon;8
Unigram;senga;8
Unigram;hali;8
Unigram;unashilgan;8
Unigram;oldiga;7
Unigram;ammo;7
Unigram;oldida;7
Unigram;xudo;7
Unigram;chiroyli;7
Unigram;yonimga;7
Unigram;keldi;7
Unigram;birga;7
Unigram;bolgan;7
Unigram;avval;7
Unigram;siz;7
Unigram;harholda;7
Unigram;qollarimni;7
Unigram;galati;7
Unigram;tomonga;7
Unigram;qadar;7
Unigram;hozir;7
Unigram;turardi;7
